file_name,data_category,Tau,T_rsq,E,E_rsq,Tau_M,Tau_B
PAA_8.8kpa_S02_L02_C01.xlsx,soft,47.006170965955775,0.7658824910975292,7.610403004990478,0.9585973253287796,0.0002401661365088,0.0007923326098629
PAA_8.8kpa_S02_L02_C02.xlsx,soft,40.232572783780896,0.7968702713503897,9.185637152913712,0.926715877117064,0.0002668494093966,0.0008163293748209
PAA_8.8kpa_S02_L02_C03.xlsx,soft,44.49081105956851,0.8033910993691599,9.034871974648992,0.9764930463167316,0.000282422545995,0.0008029046964129
PAA_8.8kpa_S02_L03_C01.xlsx,soft,59.18623046078192,0.8676809467940513,11.13731697087231,0.986954165965352,0.0005092491951221,0.0014995054806623
PAA_8.8kpa_S02_L03_C02.xlsx,soft,47.6460398452989,0.892895610988225,13.134948326186136,0.9759062401166252,0.0004901206238013,0.001559271310554
PAA_8.8kpa_S02_L03_C03.xlsx,soft,51.52592845622667,0.8853480089787606,14.037142241785189,0.9627321920985004,0.0005109963866626,0.0015231155008556
PAA_8.8kpa_S02_L04_C03.xlsx,soft,40.72042595911724,0.8421500430038531,9.11011954863124,0.8305496204041704,0.0003267092800185,0.0004987006988989
PAA_8.8kpa_S02_L02_C01.xlsx,stiff,47.006170965955775,0.7658824910975292,7.610403004990478,0.9585973253287796,0.0002401661365088,0.0007923326098629
PAA_8.8kpa_S02_L02_C02.xlsx,stiff,40.232572783780896,0.7968702713503897,9.185637152913712,0.926715877117064,0.0002668494093966,0.0008163293748209
PAA_8.8kpa_S02_L02_C03.xlsx,stiff,44.49081105956851,0.8033910993691599,9.034871974648992,0.9764930463167316,0.000282422545995,0.0008029046964129
PAA_8.8kpa_S02_L03_C01.xlsx,stiff,59.18623046078192,0.8676809467940513,11.13731697087231,0.986954165965352,0.0005092491951221,0.0014995054806623
PAA_8.8kpa_S02_L03_C02.xlsx,stiff,47.6460398452989,0.892895610988225,13.134948326186136,0.9759062401166252,0.0004901206238013,0.001559271310554
PAA_8.8kpa_S02_L03_C03.xlsx,stiff,51.52592845622667,0.8853480089787606,14.037142241785189,0.9627321920985004,0.0005109963866626,0.0015231155008556
PAA_8.8kpa_S02_L04_C03.xlsx,stiff,40.72042595911724,0.8421500430038531,9.11011954863124,0.8305496204041704,0.0003267092800185,0.0004987006988989
8.8kPa_S02_L01.Cycle0001.xls.xlsx,stiff,40.169463354091555,0.9393014338708072,12.214288242130065,0.942191373342516,0.00017289965978419672,0.0006661946476247554
8.8kPa_S02_L01.Cycle0002.xls.xlsx,stiff,36.6846829590273,0.9435357120745995,11.579163524512893,0.9634278765457268,0.000153716856065687,0.000662928019691096
8.8kPa_S02_L01.Cycle0003.xls.xlsx,stiff,44.70728511422089,0.9360525435819764,12.632383461799357,0.937632013726906,0.00016051973611534926,0.0006396102313041324
8.8kPa_S02_L02.Cycle0001.xls.xlsx,stiff,46.50292028721491,0.9090856144757093,10.6501241399367,0.9772995198089516,0.00018571383275052894,0.0012587857816618244
8.8kPa_S02_L02.Cycle0002.xls.xlsx,stiff,35.39776470554776,0.9256634762278521,11.212830709386942,0.9698110819716568,0.0001663488808856751,0.0012962125611260809
8.8kPa_S02_L02.Cycle0003.xls.xlsx,stiff,31.570716632461945,0.9447419506892246,11.066422813561323,0.977813360918682,0.00015562385274361153,0.0013195709561400258
8.8kPa_S03_L01.Cycle0001.xls.xlsx,stiff,40.26311184693687,0.9737285930327897,12.123211456053006,0.953043849267666,0.00024306522869557988,0.0009641896051776409
8.8kPa_S03_L01.Cycle0002.xls.xlsx,stiff,35.19959628998047,0.9761165709399211,13.715040537693767,0.976479063701838,0.00022757247118564933,0.0009492740798567018
8.8kPa_S03_L01.Cycle0003.xls.xlsx,stiff,38.84803484617393,0.9736041540499772,14.755896212769311,0.9705223061599604,0.00023712395362045815,0.0009172399340807964
